Country,CL_DistrictRes,Date,incid
Guinea,KANKAN,2014-10-31,2
Guinea,KANKAN,2014-11-01,0
Guinea,KANKAN,2014-11-02,0
Guinea,KANKAN,2014-11-03,0
Guinea,KANKAN,2014-11-04,0
Guinea,KANKAN,2014-11-05,0
Guinea,KANKAN,2014-11-06,0
Guinea,KANKAN,2014-11-07,0
Guinea,KANKAN,2014-11-08,1
Guinea,KANKAN,2014-11-09,0
Guinea,KANKAN,2014-11-10,1
Guinea,KANKAN,2014-11-11,0
Guinea,KANKAN,2014-11-12,0
Guinea,KANKAN,2014-11-13,0
Guinea,KANKAN,2014-11-14,1
Guinea,KANKAN,2014-11-15,3
Guinea,KANKAN,2014-11-16,2
Guinea,KANKAN,2014-11-17,0
Guinea,KANKAN,2014-11-18,1
Guinea,KANKAN,2014-11-19,0
Guinea,KANKAN,2014-11-20,5
Guinea,KANKAN,2014-11-21,2
Guinea,KANKAN,2014-11-22,0
Guinea,KANKAN,2014-11-23,0
Guinea,KANKAN,2014-11-24,0
Guinea,KANKAN,2014-11-25,0
Guinea,KANKAN,2014-11-26,0
Guinea,KANKAN,2014-11-27,0
Guinea,KANKAN,2014-11-28,0
Guinea,KANKAN,2014-11-29,0
Guinea,KANKAN,2014-11-30,1
Guinea,KANKAN,2014-12-01,0
Guinea,KANKAN,2014-12-02,2
Guinea,KANKAN,2014-12-03,0
Guinea,KANKAN,2014-12-04,0
Guinea,KANKAN,2014-12-05,0
Guinea,KANKAN,2014-12-06,0
Guinea,KANKAN,2014-12-07,0
Guinea,KANKAN,2014-12-08,0
Guinea,KANKAN,2014-12-09,0
Guinea,KANKAN,2014-12-10,0
Guinea,KANKAN,2014-12-11,0
Guinea,KANKAN,2014-12-12,0
Guinea,KANKAN,2014-12-13,0
Guinea,KANKAN,2014-12-14,1
Guinea,KANKAN,2014-12-15,0
Guinea,KANKAN,2014-12-16,0
Guinea,KANKAN,2014-12-17,0
Guinea,KANKAN,2014-12-18,0
Guinea,KANKAN,2014-12-19,0
Guinea,KANKAN,2014-12-20,0
Guinea,KANKAN,2014-12-21,0
Guinea,KANKAN,2014-12-22,0
Guinea,KANKAN,2014-12-23,0
Guinea,KANKAN,2014-12-24,0
Guinea,KANKAN,2014-12-25,0
Guinea,KANKAN,2014-12-26,2
Guinea,KANKAN,2014-12-27,0
Guinea,KANKAN,2014-12-28,0
Guinea,KANKAN,2014-12-29,0
Guinea,KANKAN,2014-12-30,1
Guinea,KANKAN,2014-12-31,0
Guinea,KANKAN,2015-01-01,1
Guinea,KANKAN,2015-01-02,0
Guinea,KANKAN,2015-01-03,1
Guinea,KANKAN,2015-01-04,0
Guinea,KANKAN,2015-01-05,0
Guinea,KANKAN,2015-01-06,0
Guinea,KANKAN,2015-01-07,0
Guinea,KANKAN,2015-01-08,0
Guinea,KANKAN,2015-01-09,0
Guinea,KANKAN,2015-01-10,0
Guinea,KANKAN,2015-01-11,0
Guinea,KANKAN,2015-01-12,0
Guinea,KANKAN,2015-01-13,1
Sierra Leone,KENEMA,2014-05-11,1
Sierra Leone,KENEMA,2014-05-12,0
Sierra Leone,KENEMA,2014-05-13,1
Sierra Leone,KENEMA,2014-05-14,0
Sierra Leone,KENEMA,2014-05-15,0
Sierra Leone,KENEMA,2014-05-16,0
Sierra Leone,KENEMA,2014-05-17,0
Sierra Leone,KENEMA,2014-05-18,0
Sierra Leone,KENEMA,2014-05-19,0
Sierra Leone,KENEMA,2014-05-20,0
Sierra Leone,KENEMA,2014-05-21,0
Sierra Leone,KENEMA,2014-05-22,0
Sierra Leone,KENEMA,2014-05-23,0
Sierra Leone,KENEMA,2014-05-24,0
Sierra Leone,KENEMA,2014-05-25,0
Sierra Leone,KENEMA,2014-05-26,0
Sierra Leone,KENEMA,2014-05-27,0
Sierra Leone,KENEMA,2014-05-28,0
Sierra Leone,KENEMA,2014-05-29,0
Sierra Leone,KENEMA,2014-05-30,0
Sierra Leone,KENEMA,2014-05-31,0
Sierra Leone,KENEMA,2014-06-01,1
Sierra Leone,KENEMA,2014-06-02,1
Sierra Leone,KENEMA,2014-06-03,0
Sierra Leone,KENEMA,2014-06-04,0
Sierra Leone,KENEMA,2014-06-05,1
Sierra Leone,KENEMA,2014-06-06,0
Sierra Leone,KENEMA,2014-06-07,0
Sierra Leone,KENEMA,2014-06-08,1
Sierra Leone,KENEMA,2014-06-09,0
Sierra Leone,KENEMA,2014-06-10,1
Sierra Leone,KENEMA,2014-06-11,1
Sierra Leone,KENEMA,2014-06-12,2
Sierra Leone,KENEMA,2014-06-13,2
Sierra Leone,KENEMA,2014-06-14,3
Sierra Leone,KENEMA,2014-06-15,2
Sierra Leone,KENEMA,2014-06-16,2
Sierra Leone,KENEMA,2014-06-17,1
Sierra Leone,KENEMA,2014-06-18,3
Sierra Leone,KENEMA,2014-06-19,4
Sierra Leone,KENEMA,2014-06-20,3
Sierra Leone,KENEMA,2014-06-21,1
Sierra Leone,KENEMA,2014-06-22,3
Sierra Leone,KENEMA,2014-06-23,0
Sierra Leone,KENEMA,2014-06-24,2
Sierra Leone,KENEMA,2014-06-25,3
Sierra Leone,KENEMA,2014-06-26,5
Sierra Leone,KENEMA,2014-06-27,7
Sierra Leone,KENEMA,2014-06-28,4
Sierra Leone,KENEMA,2014-06-29,5
Sierra Leone,KENEMA,2014-06-30,6
Sierra Leone,KENEMA,2014-07-01,3
Sierra Leone,KENEMA,2014-07-02,7
Sierra Leone,KENEMA,2014-07-03,3
